content,score,at,token,lemmatized,topic,factor_label
dahulu belanja di toko ijo sekarang pindah ke karena ada kupon instannya urus dan spinjam juga tidak rumit sekarang sudah member gold,5,2024-11-05 11:41:53,"['belanja', 'toko', 'ijo', 'pindah', 'kupon', 'instannya', 'urus', 'spinjam', 'rumit', 'member', 'gold']",belanja toko ijo pindah kupon instan urus spinjam rumit member gold,-1,Outlier
mantap makin sukses dan maju terus belanja lebih gampang dan lancar apalagi kalau saya sudah bisa hehehhee,5,2024-11-06 11:19:43,"['mantap', 'sukses', 'maju', 'belanja', 'gampang', 'lancar', 'hehehhee']",mantap sukses maju belanja gampang lancar hehehhee,0_belanja mudah_mudah belanja_belanja bayar_kupon gratis,FAC_8
makin tidak jelas sekarang isi shopeepay selalu terpotong seribu padahal dahulu tidak pernah kayak begitu saya sendiri tidak pernah punya utang di later,1,2024-10-26 11:25:43,"['isi', 'shopeepay', 'terpotong', 'seribu', 'kayak', 'utang', 'later']",isi shopeepay potong ribu kayak utang later,-1,Outlier
ah payah padahal sudah langganan lama sampai sekarang kalau belanja di tapi ngajuin di tolak terus,1,2024-10-28 12:02:34,"['ah', 'payah', 'langganan', 'belanja', 'ngajuin', 'tolak']",ah payah langgan belanja ngajuin tolak,0_belanja mudah_mudah belanja_belanja bayar_kupon gratis,FAC_8
sering pakai tidak pernah terlambat bayartapi sekali terlambat bayar sekali saja langsung berasa kriminal diuber sampai kemanapun diancam kwkw anjeng kecewa berat,5,2024-12-07 1:13:51,"['pakai', 'terlambat', 'bayartapi', 'terlambat', 'bayar', 'langsung', 'berasa', 'kriminal', 'diuber', 'kemanapun', 'diancam', 'kwkw', 'anjeng', 'kecewa', 'berat']",pakai lambat bayartapi lambat bayar langsung rasa kriminal uber mana ancam kwkw anjeng kecewa berat,11_bayar lambat_lambat bayar_denda lambat_blokir bayar,FAC_10
belanja di semua ada mau tunai at bisa harganya mulai yang murah sampai yang mahal ada tinggal kita memilih barang yang bagaimana shopee,5,2024-11-14 23:19:11,"['belanja', 'tunai', 'at', 'harganya', 'murah', 'mahal', 'tinggal', 'memilih', 'barang', 'shopee']",belanja tunai at harga murah mahal tinggal pilih barang shopee,0_belanja mudah_mudah belanja_belanja bayar_kupon gratis,FAC_8
kenapa tagihan saya tidak muncul di shoppe saya ya padahal saya ada tagihan bulan depan mau lihat tagihannya gbsa lalu bayar bagaimana mohom bantuan nya,3,2024-12-01 4:01:13,"['tagihan', 'muncul', 'shoppe', 'ya', 'tagihan', 'lihat', 'tagihannya', 'gbsa', 'bayar', 'mohom', 'bantuan', 'nya']",tagih muncul shoppe ya tagih lihat tagih gbsa bayar mohom bantu nya,3_tagih bayar_bayar tagih_bayar tanggal_tanggal bayar,FAC_10
baru mau saya pakai eh sudah hilang padahal baru kemarin ngajuin sudah di acc limit nya,2,2024-11-24 16:15:01,"['pakai', 'eh', 'hilang', 'kemarin', 'ngajuin', 'acc', 'limit', 'nya']",pakai eh hilang kemarin ngajuin acc limit nya,-1,Outlier
mau bayar cicillan bahkan ngeblank putih tidak muncul nomor virtual akun ini diniatin biar kelewat tanggal tenggat waktu pembayaran atau bagaimana payah amat nih it shoppee,2,2024-10-24 13:43:00,"['bayar', 'cicillan', 'ngeblank', 'putih', 'muncul', 'nomor', 'virtual', 'akun', 'diniatin', 'biar', 'kelewat', 'tanggal', 'tenggat', 'pembayaran', 'payah', 'nih', 'it', 'shoppee']",bayar cicillan ngeblank putih muncul nomor virtual akun diniatin biar lewat tanggal tenggat bayar payah nih it shoppee,6_cicil bayar_bayar cicil_cicil lunas_ngikutin bayar,FAC_8
kenapa limid saya tidak pernah ada kenaikan padahal saya tepat waktu saat bayar terus spinjam saya tidak pernah di loloskan selalu gagal,1,2024-12-06 17:05:35,"['limid', 'kenaikan', 'bayar', 'spinjam', 'loloskan', 'gagal']",limid naik bayar spinjam lolos gagal,6_cicil bayar_bayar cicil_cicil lunas_ngikutin bayar,FAC_8
dibekukan karena tidak sengaja bayar angsuran sudah setahun belum juga dibuka paylaternya padahal saya mau pakai karena saja delete adalah jalan ninjaku,1,2024-11-15 15:31:17,"['dibekukan', 'sengaja', 'bayar', 'angsuran', 'setahun', 'dibuka', 'paylaternya', 'pakai', 'delete', 'jalan', 'ninjaku']",beku sengaja bayar angsur tahun buka paylaternya pakai delete jalan ninjaku,27_beku bayar_bayar lambat_beku payahh_lunas beku,FAC_10
saya sangat kecewa dengan karena saya dinonaktifkan dan spinjam saya dibisa digunakan padahal saya selalu belanja di shopee,1,2024-11-13 23:01:03,"['kecewa', 'dinonaktifkan', 'spinjam', 'dibisa', 'belanja', 'shopee']",kecewa nonaktif spinjam bisa belanja shopee,0_belanja mudah_mudah belanja_belanja bayar_kupon gratis,FAC_8
mantaab baru sebulanan make sudah banyak mesan selain harga lebih murah ongkos kirim sering gratis cuman minta ditambah dong dana nya,5,2024-11-21 3:47:38,"['mantaab', 'sebulanan', 'make', 'mesan', 'harga', 'murah', 'ongkos', 'kirim', 'gratis', 'cuman', 'ditambah', 'dana', 'nya']",mantaab bulan make mesan harga murah ongkos kirim gratis cuman tambah dana nya,3_tagih bayar_bayar tagih_bayar tanggal_tanggal bayar,FAC_10
pengiriman lama kadang ditunda apalagi pakai dan gratis ongkos kirim tambah lama,1,2024-11-21 11:20:30,"['pengiriman', 'kadang', 'ditunda', 'pakai', 'gratis', 'ongkos', 'kirim']",kirim kadang tunda pakai gratis ongkos kirim,0_belanja mudah_mudah belanja_belanja bayar_kupon gratis,FAC_8
shope tidak pernah di setujui dan sipinjam semoga bisa di setujui karena sangat membantu,5,2024-12-03 11:46:39,"['shope', 'setujui', 'sipinjam', 'semoga', 'setujui', 'membantu']",shope tuju sipinjam moga tuju bantu,22_bantu bantu_tuju bantu_bantu mitra_pinjam bantu,FAC_2
sistem aneh daftar tanggal jatuh tempo nyiksa banget teman saya daftar tanggal jatuh tempo bisa di tanggal 5 saya x daftar semua jatuh temponya tanggal 1 on the way hapus aplikasi pindah ke ijo,1,2024-11-20 15:16:35,"['sistem', 'aneh', 'daftar', 'tanggal', 'jatuh', 'tempo', 'nyiksa', 'banget', 'teman', 'daftar', 'tanggal', 'jatuh', 'tempo', 'tanggal', '5', 'x', 'daftar', 'jatuh', 'temponya', 'tanggal', '1', 'on', 'the', 'way', 'hapus', 'aplikasi', 'pindah', 'ijo']",sistem aneh daftar tanggal jatuh tempo nyiksa banget teman daftar tanggal jatuh tempo tanggal 5 x daftar jatuh tempo tanggal 1 on the way hapus aplikasi pindah ijo,3_tagih bayar_bayar tagih_bayar tanggal_tanggal bayar,FAC_10
cuman ini yang bantu kantong kering tapi tetap belanja dan jangan lupa semoga pengajuan saya di acc ya kak wkwkwk,5,2024-12-08 2:02:46,"['cuman', 'bantu', 'kantong', 'kering', 'belanja', 'lupa', 'semoga', 'pengajuan', 'acc', 'ya', 'kak', 'wkwkwk']",cuman bantu kantong kering belanja lupa moga aju acc ya kak wkwkwk,-1,Outlier
sangat membantu 9thn sudah belanja dishopee cuma keluhanku sekarang saya ditangguhkan jadi tidak bisa nyicil,5,2024-12-09 5:58:40,"['membantu', '9thn', 'belanja', 'dishopee', 'keluhanku', 'ditangguhkan', 'nyicil']",bantu 9thn belanja dishopee keluh tangguh nyicil,-1,Outlier
lengkap mudah harga merakyat ada opsi pengembalian ada menu sangat memuaskan,5,2024-11-03 3:53:58,"['lengkap', 'mudah', 'harga', 'merakyat', 'opsi', 'pengembalian', 'menu', 'memuaskan']",lengkap mudah harga rakyat opsi kembali menu puas,-1,Outlier
mudah untuk mencari produk yang diinginkan tapi kalau untuk pengajuan gagal terus,3,2024-12-05 16:03:08,"['mudah', 'mencari', 'produk', 'pengajuan', 'gagal']",mudah cari produk aju gagal,0_belanja mudah_mudah belanja_belanja bayar_kupon gratis,FAC_8
baru tahu ternyata meskipun sudah jadi konsumen gold belum tentu diizinin kecewa yakin sama shopee,1,2024-11-02 6:26:27,"['konsumen', 'gold', 'diizinin', 'kecewa', 'shopee']",konsumen gold diizinin kecewa shopee,-1,Outlier
sudah lama pakai tapi tidak bisa tiap bulan tunggu ttep tidak bisa,1,2024-11-04 10:56:43,"['pakai', 'tunggu', 'ttep']",pakai tunggu ttep,-1,Outlier
sangat membantu di saat lagi tidak ada uang butuh sesuatu bisa beli pakai terima kasih shopee,5,2024-11-07 17:25:04,"['membantu', 'uang', 'butuh', 'beli', 'pakai', 'terima', 'kasih', 'shopee']",bantu uang butuh beli pakai terima kasih shopee,-1,Outlier
segala urusan belanja jadi mudah dengan bisa pakai juga pokok terlope deh,5,2024-12-03 13:22:31,"['urusan', 'belanja', 'mudah', 'pakai', 'pokok', 'terlope', 'deh']",urus belanja mudah pakai pokok terlope deh,0_belanja mudah_mudah belanja_belanja bayar_kupon gratis,FAC_8
sangat mudah untuk kita membeli barang dan seller sangat ramah tetapi untuk fitur shoope sangat sulit digunakan,5,2024-11-01 13:11:49,"['mudah', 'membeli', 'barang', 'seller', 'ramah', 'fitur', 'shoope', 'sulit']",mudah beli barang seller ramah fitur shoope sulit,0_belanja mudah_mudah belanja_belanja bayar_kupon gratis,FAC_8
x sudah mengajukan tapi tidak di setujui kapok egk lagi sudah buat pajangan tikus saja biar tikus yang grotinnya besok w pertahanin saja sudah bintang ngeganggu flesibilitas saja orang sama etnis yang di belakangnya berak sekebon egk lagi notif saja ujungnya tidak di setujui frank di gedein,1,2024-11-25 1:18:08,"['x', 'mengajukan', 'setujui', 'kapok', 'egk', 'pajangan', 'tikus', 'biar', 'tikus', 'grotinnya', 'besok', 'w', 'pertahanin', 'bintang', 'ngeganggu', 'flesibilitas', 'orang', 'etnis', 'belakangnya', 'berak', 'sekebon', 'egk', 'notif', 'ujungnya', 'setujui', 'frank', 'gedein']",x aju tuju kapok egk pajang tikus biar tikus grotinnya besok w pertahanin bintang ngeganggu flesibilitas orang etnis belakang berak kebon egk notif ujung tuju frank gedein,-1,Outlier
kecewa dengan kebijakan yang asal membekukan akun tanpa diskusi saya seller di tidak gratis saya juga bayar admin harusnya diskusikan dahulu tidak asal beku akun penjualan saya yakin rejeki tidak di ajah saya akan hapus akun di setelah saya lunas saya sudah tidak mau berurusan dengan ini kecewa sekali,1,2024-11-19 17:26:07,"['kecewa', 'kebijakan', 'membekukan', 'akun', 'diskusi', 'seller', 'gratis', 'bayar', 'admin', 'diskusikan', 'beku', 'akun', 'penjualan', 'rejeki', 'ajah', 'hapus', 'akun', 'lunas', 'berurusan', 'kecewa']",kecewa bijak beku akun diskusi seller gratis bayar admin diskusi beku akun jual rejeki ajah hapus akun lunas urus kecewa,-1,Outlier
heran member shopie padahal belanja terus tapi tidak di acc sekalinya mau ngajuin sama s pinjam,1,2024-12-04 3:31:12,"['heran', 'member', 'shopie', 'belanja', 'acc', 'sekalinya', 'ngajuin', 's', 'pinjam']",heran member shopie belanja acc sekali ngajuin s pinjam,0_belanja mudah_mudah belanja_belanja bayar_kupon gratis,FAC_8
uang di shopeepay saya mencukupi tapi tidak bisa checkout dan bahkan dialihkan ke tidak menyenangkan,1,2024-12-07 11:53:33,"['uang', 'shopeepay', 'mencukupi', 'checkout', 'dialihkan', 'menyenangkan']",uang shopeepay cukup checkout alih senang,-1,Outlier
tolong bantu saya dong cancelin pembelian dari google pakai pembayaran saya pihak google kok bisa sok tahu langsung approve tanpa pasword saya bayar pakai saya tolong dong pihak cancelin pembayaran saya sama google balikin lagi saya buat bayar sekolah anak saya bulan depan tolong bantu cancelin pembayaran saya sama pihak google tolong saya tolong,5,2024-11-13 17:32:17,"['tolong', 'bantu', 'cancelin', 'pembelian', 'google', 'pakai', 'pembayaran', 'google', 'sok', 'langsung', 'approve', 'pasword', 'bayar', 'pakai', 'tolong', 'cancelin', 'pembayaran', 'google', 'balikin', 'bayar', 'sekolah', 'anak', 'tolong', 'bantu', 'cancelin', 'pembayaran', 'google', 'tolong', 'tolong']",tolong bantu cancelin beli google pakai bayar google sok langsung approve pasword bayar pakai tolong cancelin bayar google balikin bayar sekolah anak tolong bantu cancelin bayar google tolong tolong,-1,Outlier
di lain bisa kok di sopee tidak bisa daftarin udalah malas uninstall saja lah biken rumit saja,1,2024-10-26 10:04:52,"['sopee', 'daftarin', 'udalah', 'malas', 'uninstall', 'biken', 'rumit']",sopee daftarin uda malas uninstall biken rumit,23_mantap susah_pakai susah_later susah_susah pakai,FAC_3
bagus spinjam dong gagal terus dan limit juga tidak naik,5,2024-11-21 13:27:38,"['bagus', 'spinjam', 'gagal', 'limit']",bagus spinjam gagal limit,31_gagal aktifin_gagal mulu_aktifin gagal_gagal aktif,FAC_5
aneh banget tidak pernah terlambat bayar tagihan tapi akun dibatasi,3,2024-12-09 6:39:15,"['aneh', 'banget', 'terlambat', 'bayar', 'tagihan', 'akun', 'dibatasi']",aneh banget lambat bayar tagih akun batas,3_tagih bayar_bayar tagih_bayar tanggal_tanggal bayar,FAC_10
puas tapi sayang saya dnonaktifkan oleh shope tidak tahu sampai kapan,5,2024-11-30 19:44:54,"['puas', 'sayang', 'dnonaktifkan', 'shope']",puas sayang dnonaktifkan shope,-1,Outlier
sudah lunas dan spinjam bahkan akun di bekukan tidak bisa di pakai bagaimana sih kirim pengaduan ke bahkan tidak di gubris jelek banget,1,2024-11-10 14:14:03,"['lunas', 'spinjam', 'akun', 'bekukan', 'pakai', 'sih', 'kirim', 'pengaduan', 'gubris', 'jelek', 'banget']",lunas spinjam akun bekuk pakai sih kirim adu gubris jelek banget,2_telpon layan_spam sms_telepon_telpon,FAC_10
saya bertanya hadiah motor mobil itu benar tidak 11 saya x mencoba sudah masuk klik bayar sekarang dan rincian ongkos kirim saya langsung klik anehnya tidak bisa berlanjut ada tulisan pastikan limit anda mencukupi limit juga gede kenapa tidak bisa juga kalau saya bilang terlambat sih tidak saya pantangin terus sebelum waktunya berubah apa itu hanya orang yang terpilih seperti orang dalam yang bisa dapatkan tapi orang dari luar seperti saya tidak bisa dapatkan mobil motor,3,2024-12-13 3:50:45,"['hadiah', 'motor', 'mobil', '11', 'x', 'mencoba', 'masuk', 'klik', 'bayar', 'rincian', 'ongkos', 'kirim', 'langsung', 'klik', 'anehnya', 'berlanjut', 'tulisan', 'pastikan', 'limit', 'mencukupi', 'limit', 'gede', 'bilang', 'terlambat', 'sih', 'pantangin', 'berubah', 'orang', 'terpilih', 'orang', 'dapatkan', 'orang', 'dapatkan', 'mobil', 'motor']",hadiah motor mobil 11 x coba masuk klik bayar rincian ongkos kirim langsung klik aneh lanjut tulis pasti limit cukup limit gede bilang lambat sih pantangin ubah orang pilih orang dapat orang dapat mobil motor,-1,Outlier
sebelumnya belanja apa saja tidak ada masalah tapi sekarang belanja pakai kenapa harus pakai verifikasi wajah mana tunggu lama banget akan 1 jam terus ternyata ditolak tolong dong pihak solusi buat masalah saya,5,2024-10-26 13:55:37,"['belanja', 'belanja', 'pakai', 'pakai', 'verifikasi', 'wajah', 'tunggu', 'banget', '1', 'jam', 'ditolak', 'tolong', 'solusi']",belanja belanja pakai pakai verifikasi wajah tunggu banget 1 jam tolak tolong solusi,-1,Outlier
soopee terbaik semoga pengajuan s saya lolos dan pinjaman saya lolos karena beberapakali tidak lolos padahal saya langganan soopee,5,2024-12-16 12:54:27,"['soopee', 'terbaik', 'semoga', 'pengajuan', 's', 'lolos', 'pinjaman', 'lolos', 'beberapakali', 'lolos', 'langganan', 'soopee']",soopee baik moga aju s lolos pinjam lolos beberapakali lolos langgan soopee,-1,Outlier
di menu dan s pinjam kok sering blank error padahal handphone masih mumpuni penyimpanan masih lega,1,2025-01-07 13:40:28,"['menu', 's', 'pinjam', 'blank', 'error', 'handphone', 'mumpuni', 'penyimpanan', 'lega']",menu s pinjam blank error handphone mumpuni simpan lega,-1,Outlier
masih tidak diacc terus fitur spinjam sama kenapa harus pilih pengguna toh kalau ada yang ngajuin spinjam sama diacc pasti banyak yang belanja lewat ini padahal tidak ada tagihan satu pun yang lewat jatuh tempo,1,2024-09-04 17:08:02,"['diacc', 'fitur', 'spinjam', 'pilih', 'pengguna', 'ngajuin', 'spinjam', 'diacc', 'belanja', 'tagihan', 'jatuh', 'tempo']",diacc fitur spinjam pilih guna ngajuin spinjam diacc belanja tagih jatuh tempo,0_belanja mudah_mudah belanja_belanja bayar_kupon gratis,FAC_8
awalnya bagus tapi entah mengapa saya tidak bisa digunakan pdhal tidak pernah nunggak awal bulan pasti bayar sebelum masa tenggang sekalian transfer bulan kalau memang masih tidak bisa di pakai saya seperti ya akan pindah langganan ke market place yang lain,3,2024-08-16 6:41:18,"['bagus', 'pdhal', 'nunggak', 'bayar', 'tenggang', 'transfer', 'pakai', 'ya', 'pindah', 'langganan', 'market', 'place']",bagus pdhal nunggak bayar tenggang transfer pakai ya pindah langgan market place,-1,Outlier
sudah lama pakai ini akun sudah hampir platinum tapi ingin aktivasi dan spinjam tidak pernah lolos sudah sekian kalinya saya melakukan aktivasi sudah mintak bantuan ke pelayanan pelanggan lewat instagram tapi tidak ada solusi tidak bermanfaat,1,2024-08-21 12:39:03,"['pakai', 'akun', 'platinum', 'aktivasi', 'spinjam', 'lolos', 'sekian', 'kalinya', 'aktivasi', 'mintak', 'bantuan', 'pelayanan', 'pelanggan', 'instagram', 'solusi', 'bermanfaat']",pakai akun platinum aktivasi spinjam lolos sekian kali aktivasi mintak bantu layan langgan instagram solusi manfaat,2_telpon layan_spam sms_telepon_telpon,FAC_10
saran saya buat kalian yang beli pulsa paket data dari kartunya langsung mending jangan deh saya beli paket data pembayaran tidak masuk itu bukan baru pertama kali dahulu pun begitu rugi banget sudah chat pelayanan pelanggan sudah kasih bukti pembayarannya tetap saja tidak ada solusi balesannya jangan khawatir sampai berhari hari rugi banget sumpah kecewa limit terpotong paketan tidak masuk parahh,1,2024-08-10 13:16:27,"['saran', 'beli', 'pulsa', 'paket', 'data', 'kartunya', 'langsung', 'mending', 'deh', 'beli', 'paket', 'data', 'pembayaran', 'masuk', 'kali', 'rugi', 'banget', 'chat', 'pelayanan', 'pelanggan', 'kasih', 'bukti', 'pembayarannya', 'solusi', 'balesannya', 'khawatir', 'berhari', 'rugi', 'banget', 'sumpah', 'kecewa', 'limit', 'terpotong', 'paketan', 'masuk', 'parahh']",saran beli pulsa paket data kartu langsung mending deh beli paket data bayar masuk kali rugi banget chat layan langgan kasih bukti bayar solusi balesannya khawatir hari rugi banget sumpah kecewa limit potong paket masuk parahh,-1,Outlier
revisi stars banyak toko yang masih menipu walau uang bisa dikembalikan namun kita pembeli agak trauma untuk yang dan s pinjam sangat bersyukur banget karena tidak di acc kkwkwwkk jadi tidak nambah hutang terima kasih and uninstall,1,2024-08-30 3:39:05,"['revisi', 'stars', 'toko', 'menipu', 'uang', 'dikembalikan', 'pembeli', 'trauma', 's', 'pinjam', 'bersyukur', 'banget', 'acc', 'kkwkwwkk', 'nambah', 'hutang', 'terima', 'kasih', 'and', 'uninstall']",revisi stars toko tipu uang kembali beli trauma s pinjam syukur banget acc kkwkwwkk nambah hutang terima kasih and uninstall,-1,Outlier
aplikasi nya sih bagus cuma kecewa saat mau cek out barang berkali ada pembatasan karena ada pembayaran yang belum terbayar padahal selalu bayar di tempat dan saya juga tidak menggunakan shoopee bahkan rumit harus pembaharuan akun hm sudah berkali kali ke pelayanan pelanggan tidak ada perubahan sudahlah bagus bye shoopee padahal dahulu mah shoopee top banget jadi sedih,2,2024-08-01 4:59:52,"['aplikasi', 'nya', 'sih', 'bagus', 'kecewa', 'cek', 'out', 'barang', 'berkali', 'pembatasan', 'pembayaran', 'terbayar', 'bayar', 'shoopee', 'rumit', 'pembaharuan', 'akun', 'hm', 'berkali', 'kali', 'pelayanan', 'pelanggan', 'perubahan', 'bagus', 'bye', 'shoopee', 'mah', 'shoopee', 'top', 'banget', 'sedih']",aplikasi nya sih bagus kecewa cek out barang kali batas bayar bayar bayar shoopee rumit baharu akun hm kali kali layan langgan ubah bagus bye shoopee mah shoopee top banget sedih,0_belanja mudah_mudah belanja_belanja bayar_kupon gratis,FAC_8
terlalu banyak pesan notif tidak jelas terlalu mengada ada notifikasi promo palsu dan yang lebih parahnya lagi bertahun tahun belanja pakai tapi untuk mengajukan tidak pernah di acc,1,2024-09-18 3:17:11,"['pesan', 'notif', 'mengada', 'notifikasi', 'promo', 'palsu', 'parahnya', 'bertahun', 'belanja', 'pakai', 'mengajukan', 'acc']",pesan notif kada notifikasi promo palsu parah tahun belanja pakai aju acc,-1,Outlier
ada beberapa toko penipu yang menawarkan pencairan ke waktu itu saya ditipu kehilangan 3 juta modus suruh membayar lewat barcode tagihan listrik dan pulsa setelah itu tokonya kabur memblokir nomor whatsapp saya dan akun tokonya juga diblokir sehingga saya tidak dapat membuka dan menghubungi toko dilihat dari rating dan komen tokonya juga sepertinya akal akalan tokonya saja,1,2024-08-16 6:36:21,"['toko', 'penipu', 'menawarkan', 'pencairan', 'ditipu', 'kehilangan', '3', 'juta', 'modus', 'suruh', 'membayar', 'barcode', 'tagihan', 'listrik', 'pulsa', 'tokonya', 'kabur', 'memblokir', 'nomor', 'whatsapp', 'akun', 'tokonya', 'diblokir', 'membuka', 'menghubungi', 'toko', 'rating', 'komen', 'tokonya', 'akal', 'akalan', 'tokonya']",toko tipu tawar cair tipu hilang 3 juta modus suruh bayar barcode tagih listrik pulsa toko kabur blokir nomor whatsapp akun toko blokir buka hubung toko rating komen toko akal akal toko,0_belanja mudah_mudah belanja_belanja bayar_kupon gratis,FAC_8
maafkan saya sudah ilfeel karena kebijakan perusahaan yang aneh 1 potongan admin semakin memberatkan penjual masa pengemasan semakin sedikit sedang pengiriman barang itu terkait pihak ketiga yang seharusnya tidak perlu ikut campur dengan memberi penalti 3 penalti akun penjual berimbas ke peran sebagai pembeli padahal ke peran itu sama menguntungkan kami sedang berusaha move on pindah market place mau selesaikan perhutangan dahulu,1,2024-09-16 11:59:53,"['maafkan', 'ilfeel', 'kebijakan', 'perusahaan', 'aneh', '1', 'potongan', 'admin', 'memberatkan', 'penjual', 'pengemasan', 'pengiriman', 'barang', 'terkait', 'ketiga', 'campur', 'penalti', '3', 'penalti', 'akun', 'penjual', 'berimbas', 'peran', 'pembeli', 'peran', 'menguntungkan', 'berusaha', 'move', 'on', 'pindah', 'market', 'place', 'selesaikan', 'perhutangan']",maaf ilfeel bijak usaha aneh 1 potong admin berat jual kemas kirim barang kait tiga campur penalti 3 penalti akun jual imbas peran beli peran untung usaha move on pindah market place selesai hutang,-1,Outlier
rusak belanja pakai shopeepay pakai scan qr pas sudah verifikasi mendadak cuman centang telah dibayar padahal masih belum dibayar verifikasi pembayaran sepihak oleh padahal ditagihan sudah tertulis nominal 1 ribu usahakan jangan sampai pakai saat belanja offline pakai qr korupsi,1,2024-09-29 5:31:25,"['rusak', 'belanja', 'pakai', 'shopeepay', 'pakai', 'scan', 'qr', 'pas', 'verifikasi', 'mendadak', 'cuman', 'centang', 'dibayar', 'dibayar', 'verifikasi', 'pembayaran', 'ditagihan', 'tertulis', 'nominal', '1', 'ribu', 'usahakan', 'pakai', 'belanja', 'offline', 'pakai', 'qr', 'korupsi']",rusak belanja pakai shopeepay pakai scan qr pas verifikasi dadak cuman centang bayar bayar verifikasi bayar tagih tulis nominal 1 ribu usaha pakai belanja offline pakai qr korupsi,0_belanja mudah_mudah belanja_belanja bayar_kupon gratis,FAC_8
salah satu e commerce trprcaya favorite saya buat belanja daring apalagi ada fasilitas paylaternya jadi makin mudah belanja bayarnya bulan depan cuman syg makin kesini makin mahal biaya paylaternya biasa ongkos kirim terpotong ini malah harus ikut bayar kalau pakai belum lagi kupon ongkos kirim nol tidak benar nol rp sekarang kita hrss belanja minimal ribu baru potong ongkos kirim itu pun ptg 5rb tidak full kayak dulu ya wajar sih jadi banyak yang di phk mungkin karena rugi bayarin ongkos kirim cust terus semoga kedepannya tetap dapat pot ongkos kirim,4,2024-09-07 14:06:18,"['salah', 'e', 'commerce', 'trprcaya', 'favorite', 'belanja', 'daring', 'fasilitas', 'paylaternya', 'mudah', 'belanja', 'bayarnya', 'cuman', 'syg', 'kesini', 'mahal', 'biaya', 'paylaternya', 'ongkos', 'kirim', 'terpotong', 'bayar', 'pakai', 'kupon', 'ongkos', 'kirim', 'nol', 'nol', 'rp', 'hrss', 'belanja', 'minimal', 'ribu', 'potong', 'ongkos', 'kirim', 'ptg', '5rb', 'full', 'kayak', 'ya', 'wajar', 'sih', 'phk', 'rugi', 'bayarin', 'ongkos', 'kirim', 'cust', 'semoga', 'kedepannya', 'pot', 'ongkos', 'kirim']",salah e commerce trprcaya favorite belanja daring fasilitas paylaternya mudah belanja bayar cuman syg kesini mahal biaya paylaternya ongkos kirim potong bayar pakai kupon ongkos kirim nol nol rp hrss belanja minimal ribu potong ongkos kirim ptg 5rb full kayak ya wajar sih phk rugi bayarin ongkos kirim cust moga depan pot ongkos kirim,0_belanja mudah_mudah belanja_belanja bayar_kupon gratis,FAC_8
pengalamanan yang mengesankan saat saya menggunakan pertama kali di luncurkan sampai 4 ini tapi yang saya tidak suka masih ada yang kirim produk yang tidak sama dengan apa yang di isi di speksifikasi dan deskripsinya susah untuk mengaktifkan juga dan harga flase sale tidak berubah seperti harga yang ditentukan saat flase sale berlangsung,4,2024-09-11 1:49:19,"['pengalamanan', 'mengesankan', 'kali', 'luncurkan', '4', 'suka', 'kirim', 'produk', 'isi', 'speksifikasi', 'deskripsinya', 'susah', 'mengaktifkan', 'harga', 'flase', 'sale', 'berubah', 'harga', 'ditentukan', 'flase', 'sale']",alam kesan kali luncur 4 suka kirim produk isi speksifikasi deskripsi susah aktif harga flase sale ubah harga tentu flase sale,0_belanja mudah_mudah belanja_belanja bayar_kupon gratis,FAC_8
sesudah di diperbarui jadi sering hang apalagi pas mencet shope layar langsung tidak bisa di apain ngefrezz tolong dong pihak shope di perbaikan ini bagaimana kalau mau bayar cicilan masa sering hang begini mohon tanggapan terima kasih,5,2024-09-11 6:31:36,"['diperbarui', 'hang', 'pas', 'mencet', 'shope', 'layar', 'langsung', 'apain', 'ngefrezz', 'tolong', 'shope', 'perbaikan', 'bayar', 'cicilan', 'hang', 'mohon', 'tanggapan', 'terima', 'kasih']",baru hang pas mencet shope layar langsung apain ngefrezz tolong shope baik bayar cicil hang mohon tanggap terima kasih,6_cicil bayar_bayar cicil_cicil lunas_ngikutin bayar,FAC_8
aplikasi sudah bagus sih banyak fitur tapi yang buat saya sedih saya sudah tidak bisa lagi padahal tagihan sudah di bayar tapi masih saja tetap tidak bisa pakai padahal sudah lebih 3 tahun rumit sudah,3,2024-08-21 12:16:15,"['aplikasi', 'bagus', 'sih', 'fitur', 'sedih', 'tagihan', 'bayar', 'pakai', '3', 'rumit']",aplikasi bagus sih fitur sedih tagih bayar pakai 3 rumit,3_tagih bayar_bayar tagih_bayar tanggal_tanggal bayar,FAC_10
bersyukur banget sudah aktif pakai karena mudah belanjanya produk yang dicari juga mudah dan murah juga sudah aktif dan terjangkau pembayarannya,5,2024-09-04 6:24:27,"['bersyukur', 'banget', 'aktif', 'pakai', 'mudah', 'belanjanya', 'produk', 'dicari', 'mudah', 'murah', 'aktif', 'terjangkau', 'pembayarannya']",syukur banget aktif pakai mudah belanja produk cari mudah murah aktif jangkau bayar,0_belanja mudah_mudah belanja_belanja bayar_kupon gratis,FAC_8
